# PRJNA316969 Assembly Details						
# Assembly	Level	WGS	Chrs	BioSample	Strain	Taxonomy
GCA_002872035.1	Scaffold	PNHY00000000	undefined	SAMN07511379	UMB1319	Acinetobacter ursingii
GCA_002871975.1	Scaffold	PNHV00000000	undefined	SAMN07511382	UMB0286	Actinomyces graevenitzii
GCA_002860635.1	Scaffold	PKKK00000000	undefined	SAMN08193634	UMB0731	Actinomyces naeslundii
GCA_002847585.1	Scaffold	PKKP00000000	undefined	SAMN08193628	UMB0181	Actinomyces naeslundii
GCA_002847555.1	Scaffold	PKKL00000000	undefined	SAMN08193633	UMB0183	Actinomyces oris
GCA_002849225.1	Scaffold	PKMC00000000	undefined	SAMN08193631	UMB0138	Actinomyces sp. UMB0138
GCA_002872055.1	Scaffold	PNHT00000000	undefined	SAMN07511384	UMB0918	Actinomyces sp. UMB0918
GCA_002861525.1	Scaffold	PKHA00000000	undefined	SAMN08193636	UMB0319	Actinomyces urogenitalis
GCA_002860685.1	Contig	PKMD00000000	undefined	SAMN08193627	UMB0063	Actinotignum timonense
GCA_002860725.1	Scaffold	PKME00000000	undefined	SAMN08193626	UMB0086	Actinotignum timonense
GCA_002872015.1	Scaffold	PNHX00000000	undefined	SAMN07511380	UMB0759	Actinotignum urinale
GCA_002861505.1	Scaffold	PKGZ00000000	undefined	SAMN08193637	UMB0844	Aerococcus christensenii
GCA_002847725.1	Scaffold	PKGY00000000	undefined	SAMN08193638	UMB0139	Aerococcus sanguinicola
GCA_008802315.1	Contig	VZIH00000000	undefined	SAMN12797005	UMB620	Aerococcus sanguinicola
GCA_008726925.1	Contig	VYWO00000000	undefined	SAMN12797007	UMB623	Aerococcus sanguinicola
GCA_003286595.1	Scaffold	QMHH00000000	undefined	SAMN08895450	UMB0800	Aerococcus sp. UMB0080
GCA_002847705.1	Scaffold	PKGX00000000	undefined	SAMN08193639	UMB0126	Aerococcus urinae
GCA_002847665.1	Scaffold	PKGV00000000	undefined	SAMN08193641	UMB0072	Aerococcus urinae
GCA_002847625.1	Scaffold	PKGW00000000	undefined	SAMN08193640	UMB0232	Aerococcus urinae
GCA_002871915.1	Scaffold	PNHR00000000	undefined	SAMN07511386	UMB0080	Aerococcus urinae
GCA_002884955.1	Contig	PNHS00000000	undefined	SAMN07511385	UMB0088	Aerococcus urinae
GCA_002884575.1	Scaffold	PNGB00000000	undefined	SAMN07580854	UMB0072b	Aerococcus urinae
GCA_003286585.1	Scaffold	QMHJ00000000	undefined	SAMN08895452	UMB5628	Aerococcus urinae
GCA_003286555.1	Scaffold	QMHM00000000	undefined	SAMN08895455	UMB7480	Aerococcus urinae
GCA_003286515.1	Scaffold	QMHA00000000	undefined	SAMN08895443	UMB0621	Aerococcus urinae
GCA_003286525.1	Scaffold	QMGT00000000	undefined	SAMN08895436	UMB0071	Aerococcus urinae
GCA_003286795.1	Scaffold	QMGZ00000000	undefined	SAMN08895442	UMB0574	Aerococcus urinae
GCA_003286725.1	Scaffold	QMHE00000000	undefined	SAMN08895447	UMB2325	Aerococcus urinae
GCA_003286895.1	Scaffold	QMGU00000000	undefined	SAMN08895437	UMB0239	Aerococcus urinae
GCA_003286875.1	Scaffold	QMGV00000000	undefined	SAMN08895438	UMB0267	Aerococcus urinae
GCA_003286845.1	Scaffold	QMGW00000000	undefined	SAMN08895439	UMB0337	Aerococcus urinae
GCA_003286825.1	Scaffold	QMGX00000000	undefined	SAMN08895440	UMB0509	Aerococcus urinae
GCA_003286805.1	Scaffold	QMGY00000000	undefined	SAMN08895441	UMB0553	Aerococcus urinae
GCA_003286715.1	Scaffold	QMHD00000000	undefined	SAMN08895446	UMB1741	Aerococcus urinae
